Track Name,Associated Character(s),Context / Game
At the End of Spring,Byakuren Hijiri,Stage 6 Theme (Touhou 12: Undefined Fantastic Object)
Bamboo Forest of the Full Moon,Reimu Hakurei / Marisa Kirisame,Stage 4 Powerful Theme (Touhou 8: Imperishable Night)
Crazy Backup Dancers,Mai Teireida & Satono Nishida,Stage 5 Boss Theme (Touhou 16: Hidden Star in Four Seasons)
Electric Heritage,Youmu Konpaku,Stage 5 Theme (Touhou 7: Perfect Cherry Blossom)
Faraway Voyage of 380000 Kilometers,Clownpiece,Stage 5 Theme (Touhou 15: Legacy of Lunatic Kingdom)
Heartfelt Fancy,Satori Komeiji,Stage 4 Theme (Touhou 11: Subterranean Animism)
Heian Alien,Nue Houjuu,Extra Stage Boss Theme (Touhou 12: Undefined Fantastic Object)
Into Backdoor,Okina Matara,Stage 6 Theme (Touhou 16: Hidden Star in Four Seasons)
Invisible Full Moon,Reisen Udongein Inaba,Stage 5 Boss Theme (Touhou 8: Imperishable Night)*
Love-Colored Master Spark,Marisa Kirisame,Boss Theme / Signature (Touhou 8: Imperishable Night)
Nostalgic Blood of the East,Keine Kamishirasawa,Stage 3 Theme (Touhou 8: Imperishable Night)
Retribution for the Eternal Night,Reimu Hakurei,Stage 4 Uncanny Theme (Touhou 8: Imperishable Night)
Rural Makai City Esoteria,Shou Toramaru,Stage 5 Theme (Touhou 12: Undefined Fantastic Object)
Swim in a Cherry Blossom-Colored Sea,Eternity Larva,Stage 1 Theme (Touhou 16: Hidden Star in Four Seasons)
The Long-Awaited Omagatoki,Megumu Iizunamaru / Tsukasa Kudamaki,Stage 5 Theme (Touhou 18: Unconnected Marketeers)
The Princess That Slays Dragon Kings,Momoyo Himemushi,Extra Stage Boss Theme (Touhou 18: Unconnected Marketeers)
The Shining Needle Castle Sinking in the Air,Seija Kijin,Stage 5 Theme (Touhou 14: Double Dealing Character)
The Yorimashi Sits Between Dream and Reality,Yukari Yakumo,Character Theme (Touhou 15.5: Antinomy of Common Flowers*)
Walking the Streets of a Former Hell,Yuugi Hoshiguma,Stage 3 Theme (Touhou 11: Subterranean Animism)
